,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,997,3,0,2,998,1,3,3990,0
2,2,995,5,0,2,998,2,5,3992,0
3,3,993,7,0,3,997,2,7,3986,2
4,4,991,9,0,227,773,2,9,3090,1
5,5,988,12,0,198,802,3,12,3208,2
6,6,985,13,2,233,767,3,15,3068,2
7,7,981,16,3,233,767,4,19,3066,2
8,8,976,19,5,231,769,5,24,3074,3
9,9,973,20,7,244,756,3,27,3024,3
10,10,968,23,9,250,750,5,32,2998,4
11,11,960,28,12,272,728,8,40,2912,5
12,12,952,33,15,348,652,8,48,2608,3
13,13,948,33,19,251,749,4,52,2996,5
14,14,941,35,24,358,642,7,59,2566,8
15,15,934,39,27,363,637,7,66,2546,8
16,16,927,41,32,371,629,7,73,2516,4
17,17,922,38,40,286,714,5,78,2856,7
18,18,917,35,48,319,681,5,83,2724,7
19,19,908,40,52,308,692,9,92,2766,7
20,20,900,41,59,312,688,8,100,2752,5
21,21,887,47,66,362,638,13,113,2552,5
22,22,879,48,73,369,631,8,121,2524,9
23,23,868,54,78,344,656,11,132,2622,8
24,24,858,59,83,374,626,10,142,2502,13
25,25,850,58,92,505,495,8,150,1978,8
26,26,838,62,100,374,626,12,162,2502,11
27,27,831,56,113,438,562,7,169,2248,10
28,28,828,51,121,452,548,3,172,2192,8
29,29,824,44,132,387,613,4,176,2452,12
30,30,822,36,142,495,505,2,178,2018,7
31,31,819,31,150,318,682,3,181,2728,3
32,32,816,22,162,261,739,3,184,2956,4
33,33,812,19,169,274,726,4,188,2902,2
34,34,805,23,172,240,760,7,195,3040,3
35,35,800,24,176,251,749,5,200,2994,3
36,36,796,26,178,251,749,4,204,2994,4
37,37,791,28,181,274,726,5,209,2904,7
38,38,787,29,184,301,699,4,213,2796,5
39,39,782,30,188,350,650,5,218,2598,4
40,40,780,25,195,272,728,2,220,2912,5
41,41,775,25,200,358,642,5,225,2568,4
42,42,770,26,204,272,728,5,230,2912,5
43,43,765,26,209,354,646,5,235,2584,2
44,44,761,26,213,255,745,4,239,2978,5
45,45,757,25,218,360,640,4,243,2558,5
46,46,754,26,220,362,638,3,246,2552,5
47,47,747,28,225,356,644,7,253,2576,4
48,48,742,28,230,286,714,5,258,2856,4
49,49,735,30,235,275,725,7,265,2898,3
50,50,733,28,239,243,757,2,267,3026,7
51,51,730,27,243,304,696,3,270,2782,5
52,52,728,26,246,362,638,2,272,2552,7
53,53,725,22,253,307,693,3,275,2770,2
54,54,722,20,258,251,749,3,278,2996,3
55,55,719,16,265,254,746,3,281,2982,2
56,56,715,18,267,234,766,4,285,3062,3
57,57,714,16,270,245,755,1,286,3020,3
58,58,712,16,272,241,759,2,288,3036,3
59,59,711,14,275,240,760,1,289,3038,4
60,60,710,12,278,272,728,1,290,2912,1
61,61,710,9,281,193,807,0,290,3228,2
62,62,710,5,285,245,755,0,290,3020,1
63,63,710,4,286,200,800,0,290,3198,1
64,64,710,2,288,188,812,0,290,3248,0
65,65,710,1,289,3,997,0,290,3988,0
66,66,709,1,290,1,999,1,291,3994,0
67,67,709,1,290,1,999,0,291,3994,0
68,68,708,2,290,1,999,1,292,3994,0
69,69,706,4,290,1,999,2,294,3996,1
70,70,706,4,290,201,799,0,294,3194,0
71,71,705,5,290,2,998,1,295,3990,1
72,72,705,4,291,200,800,0,295,3198,2
73,73,704,5,291,230,770,1,296,3080,0
74,74,704,4,292,5,995,0,296,3978,1
75,75,704,2,294,191,809,0,296,3234,0
76,76,703,3,294,3,997,1,297,3988,1
77,77,703,2,295,206,794,0,297,3174,0
78,78,703,2,295,1,999,0,297,3996,0
79,79,703,1,296,2,998,0,297,3990,1
80,80,703,1,296,202,798,0,297,3192,0
81,81,703,1,296,2,998,0,297,3992,0
82,82,703,0,297,2,998,0,297,3990,0
