,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,994,6,0,0,1000,4,6,5000,0
2,2,987,13,0,0,1000,7,13,4998,0
3,3,972,28,0,1,999,15,28,4994,2
4,4,955,45,0,228,772,17,45,3858,4
5,5,928,72,0,265,735,27,72,3672,7
6,6,896,102,2,320,680,32,104,3400,15
7,7,875,119,6,612,388,21,125,1940,17
8,8,842,145,13,563,437,33,158,2184,27
9,9,821,151,28,702,298,21,179,1488,32
10,10,781,174,45,712,288,40,219,1438,21
11,11,737,191,72,671,329,44,263,1644,33
12,12,706,190,104,724,276,31,294,1378,21
13,13,667,208,125,713,287,39,333,1434,40
14,14,636,206,158,742,258,31,364,1290,44
15,15,617,204,179,774,226,19,383,1128,31
16,16,603,178,219,764,236,14,397,1178,39
17,17,595,142,263,760,240,8,405,1198,31
18,18,586,120,294,734,266,9,414,1330,19
19,19,575,92,333,577,423,11,425,2112,14
20,20,571,65,364,578,422,4,429,2108,8
21,21,564,53,383,384,616,7,436,3080,9
22,22,553,50,397,338,662,11,447,3310,11
23,23,549,46,405,438,562,4,451,2810,4
24,24,547,39,414,297,703,2,453,3512,7
25,25,544,31,425,335,665,3,456,3324,11
26,26,543,28,429,433,567,1,457,2834,4
27,27,539,25,436,273,727,4,461,3634,2
28,28,537,16,447,256,744,2,463,3720,3
29,29,534,15,451,249,751,3,466,3754,1
30,30,531,16,453,184,816,3,469,4080,4
31,31,529,15,456,261,739,2,471,3694,2
32,32,527,16,457,242,758,2,473,3790,3
33,33,523,16,461,249,751,4,477,3752,3
34,34,520,17,463,242,758,3,480,3788,2
35,35,517,17,466,236,764,3,483,3818,2
36,36,515,16,469,237,763,2,485,3814,4
37,37,512,17,471,279,721,3,488,3604,3
38,38,512,15,473,257,743,0,488,3714,3
39,39,511,12,477,238,762,1,489,3806,2
40,40,510,10,480,247,753,1,490,3764,3
41,41,510,7,483,232,768,0,490,3838,0
42,42,507,8,485,3,997,3,493,4984,1
43,43,507,5,488,166,834,0,493,4168,1
44,44,506,6,488,166,834,1,494,4168,0
45,45,504,7,489,4,996,2,496,4980,3
46,46,503,7,490,238,762,1,497,3810,0
47,47,501,9,490,3,997,2,499,4984,1
48,48,498,9,493,173,827,3,502,4134,2
49,49,496,11,493,236,764,2,504,3818,1
50,50,494,12,494,182,818,2,506,4090,2
51,51,494,10,496,234,766,0,506,3828,3
52,52,494,9,497,236,764,0,506,3818,2
53,53,493,8,499,227,773,1,507,3862,2
54,54,493,5,502,232,768,0,507,3840,0
55,55,489,7,504,2,998,4,511,4988,0
56,56,484,10,506,1,999,5,516,4994,1
57,57,480,14,506,181,819,4,520,4094,0
58,58,477,17,506,4,996,3,523,4978,4
59,59,476,17,507,269,731,1,524,3654,5
60,60,475,18,507,338,662,1,525,3308,4
61,61,474,15,511,285,715,1,526,3574,3
62,62,474,10,516,244,756,0,526,3778,1
63,63,474,6,520,180,820,0,526,4098,1
64,64,474,3,523,181,819,0,526,4092,1
65,65,474,2,524,186,814,0,526,4068,0
66,66,474,1,525,1,999,0,526,4994,0
67,67,474,0,526,1,999,0,526,4994,0
