,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,96,4,0,0,100,2,4,500,0
2,2,92,8,0,1,99,4,8,494,0
3,3,86,14,0,1,99,6,14,494,2
4,4,83,17,0,70,30,3,17,148,2
5,5,82,18,0,73,27,1,18,132,4
6,6,80,18,2,70,30,2,20,148,6
7,7,78,18,4,73,27,2,22,130,3
8,8,73,19,8,77,23,5,27,114,1
9,9,72,14,14,65,35,1,28,174,2
10,10,71,12,17,74,26,1,29,130,2
11,11,71,11,18,74,26,0,29,128,5
12,12,70,10,20,75,25,1,30,122,1
13,13,69,9,22,58,42,1,31,208,1
14,14,67,6,27,59,41,2,33,204,0
15,15,65,7,28,2,98,2,35,490,1
16,16,64,7,29,54,46,1,36,228,1
17,17,63,8,29,55,45,1,37,224,2
18,18,62,8,30,73,27,1,38,132,2
19,19,61,8,31,74,26,1,39,128,1
20,20,61,6,33,61,39,0,39,194,1
21,21,61,4,35,56,44,0,39,218,1
22,22,61,3,36,60,40,0,39,196,1
23,23,61,2,37,64,36,0,39,178,0
24,24,61,1,38,0,100,0,39,500,0
25,25,60,1,39,1,99,1,40,492,0
26,26,59,2,39,0,100,1,41,496,0
27,27,57,4,39,0,100,2,43,498,0
28,28,56,5,39,0,100,1,44,500,1
29,29,56,5,39,59,41,0,44,204,1
30,30,56,5,39,56,44,0,44,220,2
31,31,56,4,40,70,30,0,44,148,1
32,32,56,3,41,54,46,0,44,230,0
33,33,55,2,43,2,98,1,45,490,0
34,34,53,3,44,0,100,2,47,500,0
35,35,51,5,44,0,100,2,49,498,0
36,36,47,9,44,0,100,4,53,500,1
37,37,46,10,44,52,48,1,54,238,2
38,38,46,10,44,72,28,0,54,138,2
39,39,46,9,45,66,34,0,54,168,4
40,40,46,7,47,65,35,0,54,174,1
41,41,44,7,49,58,42,2,56,206,0
42,42,43,4,53,3,97,1,57,482,0
43,43,40,6,54,1,99,3,60,494,0
44,44,40,6,54,2,98,0,60,490,2
45,45,40,6,54,67,33,0,60,162,1
46,46,40,6,54,58,42,0,60,208,3
47,47,40,4,56,71,29,0,60,142,0
48,48,40,3,57,2,98,0,60,488,0
49,49,39,1,60,1,99,1,61,492,0
