,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,97,3,0,0,100,1,3,498,0
2,2,94,6,0,0,100,3,6,498,0
3,3,91,9,0,2,98,3,9,488,2
4,4,83,17,0,1,99,8,17,494,1
5,5,69,31,0,3,97,14,31,482,3
6,6,55,43,2,5,95,14,45,474,3
7,7,37,60,3,12,88,18,63,438,8
8,8,19,75,6,16,84,18,81,418,14
9,9,10,81,9,17,83,9,90,414,14
10,10,3,80,17,29,71,7,97,352,18
11,11,1,68,31,38,62,2,99,308,18
12,12,0,55,45,27,73,1,100,364,9
13,13,0,37,63,27,73,0,100,362,7
14,14,0,19,81,21,79,0,100,394,2
15,15,0,10,90,11,89,0,100,444,1
16,16,0,3,97,8,92,0,100,458,0
17,17,0,1,99,2,98,0,100,488,0
18,18,0,0,100,1,99,0,100,494,0
