,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,97,3,0,0,100,1,3,498,0
2,2,96,4,0,0,100,1,4,500,0
3,3,94,6,0,0,100,2,6,496,2
4,4,89,11,0,0,100,5,11,498,1
5,5,81,19,0,0,100,8,19,500,1
6,6,68,30,2,0,100,13,32,496,2
7,7,53,44,3,0,100,15,47,498,5
8,8,27,69,4,0,100,26,73,498,8
9,9,17,77,6,0,100,10,83,496,13
10,10,9,80,11,0,100,8,91,498,15
11,11,4,77,19,0,100,5,96,500,26
12,12,1,67,32,0,100,3,99,500,10
13,13,0,53,47,0,100,1,100,500,8
14,14,0,27,73,0,100,0,100,498,5
15,15,0,17,83,0,100,0,100,500,3
16,16,0,9,91,0,100,0,100,500,1
17,17,0,4,96,0,100,0,100,498,0
18,18,0,1,99,0,100,0,100,500,0
19,19,0,0,100,0,100,0,100,498,0
