,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,997,3,0,0,1000,1,3,5000,0
2,2,993,7,0,0,1000,4,7,4996,0
3,3,986,14,0,0,1000,7,14,4998,2
4,4,984,16,0,239,761,2,16,3804,1
5,5,977,23,0,202,798,7,23,3988,4
6,6,969,29,2,271,729,8,31,3644,7
7,7,956,41,3,292,708,13,44,3540,2
8,8,938,55,7,243,757,18,62,3782,7
9,9,927,59,14,309,691,11,73,3454,8
10,10,909,75,16,354,646,18,91,3230,13
11,11,891,86,23,527,473,18,109,2364,18
12,12,875,94,31,561,439,16,125,2194,11
13,13,842,114,44,448,552,33,158,2758,18
14,14,822,116,62,570,430,20,178,2150,18
15,15,789,138,73,568,432,33,211,2158,16
16,16,759,150,91,606,394,30,241,1968,33
17,17,738,153,109,719,281,21,262,1404,20
18,18,712,163,125,669,331,26,288,1652,33
19,19,685,157,158,735,265,27,315,1324,30
20,20,664,158,178,692,308,21,336,1540,21
21,21,649,140,211,709,291,15,351,1454,26
22,22,640,119,241,731,269,9,360,1344,27
23,23,636,102,262,735,265,4,364,1324,21
24,24,632,80,288,683,317,4,368,1582,15
25,25,627,58,315,631,369,5,373,1844,9
26,26,622,42,336,351,649,5,378,3244,4
27,27,616,33,351,267,733,6,384,3664,4
28,28,606,34,360,258,742,10,394,3706,5
29,29,604,32,364,353,647,2,396,3234,5
30,30,603,29,368,351,649,1,397,3244,6
31,31,601,26,373,358,642,2,399,3210,10
32,32,597,25,378,426,574,4,403,2866,2
33,33,593,23,384,241,759,4,407,3794,1
34,34,586,20,394,191,809,7,414,4044,2
35,35,581,23,396,234,766,5,419,3830,4
36,36,579,24,397,248,752,2,421,3760,4
37,37,577,24,399,255,745,2,423,3722,7
38,38,574,23,403,314,686,3,426,3430,5
39,39,573,20,407,352,648,1,427,3238,2
40,40,571,15,414,231,769,2,429,3844,2
41,41,569,12,419,234,766,2,431,3826,3
42,42,567,12,421,234,766,2,433,3828,1
43,43,565,12,423,189,811,2,435,4052,2
44,44,565,9,426,235,765,0,435,3824,2
45,45,565,8,427,231,769,0,435,3844,2
46,46,565,6,429,229,771,0,435,3854,2
47,47,565,4,431,231,769,0,435,3844,0
48,48,565,2,433,3,997,0,435,4984,0
49,49,564,1,435,0,1000,1,436,5000,0
50,50,564,1,435,0,1000,0,436,4998,0
51,51,564,1,435,0,1000,0,436,5000,0
52,52,564,1,435,0,1000,0,436,5000,1
53,53,564,1,435,185,815,0,436,4074,0
54,54,564,1,435,1,999,0,436,4994,0
55,55,564,0,436,0,1000,0,436,4998,0
