,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,998,2,0,0,1000,2,2,0,0
1,1,996,4,0,0,1000,2,4,5000,0
2,2,992,8,0,0,1000,4,8,5000,0
3,3,984,16,0,1,999,8,16,4994,2
4,4,978,22,0,233,767,6,22,3834,2
5,5,967,33,0,229,771,11,33,3854,4
6,6,945,53,2,249,751,22,55,3754,8
7,7,921,75,4,343,657,24,79,3284,6
8,8,883,109,8,359,641,38,117,3204,11
9,9,852,132,16,442,558,31,148,2788,22
10,10,822,156,22,671,329,30,178,1644,24
11,11,797,170,33,699,301,25,203,1504,38
12,12,765,180,55,746,254,32,235,1268,31
13,13,733,188,79,734,266,32,267,1328,30
14,14,699,184,117,706,294,34,301,1468,25
15,15,673,179,148,755,245,26,327,1224,32
16,16,645,177,178,742,258,28,355,1286,32
17,17,630,167,203,751,249,15,370,1244,34
18,18,618,147,235,776,224,12,382,1118,26
19,19,613,120,267,772,228,5,387,1138,28
20,20,600,99,301,736,264,13,400,1320,15
21,21,591,82,327,629,371,9,409,1854,12
22,22,581,64,355,489,511,10,419,2552,5
23,23,572,58,370,376,624,9,428,3120,13
24,24,569,49,382,508,492,3,431,2460,9
25,25,564,49,387,338,662,5,436,3310,10
26,26,564,36,400,438,562,0,436,2808,9
27,27,562,29,409,331,669,2,438,3344,3
28,28,560,21,419,261,739,2,440,3694,5
29,29,560,12,428,362,638,0,440,3190,0
30,30,554,15,431,7,993,6,446,4962,2
31,31,552,12,436,238,762,2,448,3810,2
32,32,549,15,436,239,761,3,451,3804,0
33,33,544,18,438,9,991,5,456,4952,6
34,34,543,17,440,336,664,1,457,3318,2
35,35,540,20,440,238,762,3,460,3810,3
36,36,539,15,446,259,741,1,461,3704,5
37,37,538,14,448,354,646,1,462,3228,1
38,38,537,12,451,203,797,1,463,3984,3
39,39,537,7,456,247,753,0,463,3764,1
40,40,537,6,457,201,799,0,463,3994,1
41,41,537,3,460,194,806,0,463,4030,1
42,42,537,2,461,188,812,0,463,4058,0
43,43,536,2,462,1,999,1,464,4994,0
44,44,535,2,463,1,999,1,465,4994,0
45,45,535,2,463,0,1000,0,465,5000,0
46,46,534,3,463,0,1000,1,466,4996,1
47,47,534,3,463,200,800,0,466,4000,1
48,48,534,3,463,197,803,0,466,4014,0
49,49,533,3,464,2,998,1,467,4990,1
50,50,533,2,465,186,814,0,467,4070,0
51,51,532,3,465,1,999,1,468,4994,0
52,52,529,5,466,1,999,3,471,4994,1
53,53,528,6,466,192,808,1,472,4040,0
54,54,528,6,466,2,998,0,472,4988,1
55,55,528,5,467,202,798,0,472,3990,3
56,56,528,5,467,255,745,0,472,3724,1
57,57,528,4,468,195,805,0,472,4024,0
58,58,525,4,471,2,998,3,475,4988,0
59,59,523,5,472,0,1000,2,477,4998,0
60,60,520,8,472,0,1000,3,480,5000,0
61,61,517,11,472,0,1000,3,483,4998,3
62,62,517,11,472,230,770,0,483,3848,2
63,63,516,12,472,222,778,1,484,3888,3
64,64,515,10,475,242,758,1,485,3790,3
65,65,515,8,477,249,751,0,485,3754,0
66,66,515,5,480,5,995,0,485,4974,1
67,67,515,2,483,197,803,0,485,4014,1
68,68,515,2,483,187,813,0,485,4064,0
69,69,515,1,484,1,999,0,485,4994,0
70,70,515,0,485,0,1000,0,485,5000,0
