,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,96,4,0,0,100,2,4,500,0
2,2,92,8,0,0,100,4,8,498,0
3,3,86,14,0,0,100,6,14,500,2
4,4,84,16,0,62,38,2,16,186,2
5,5,82,18,0,68,32,2,18,156,4
6,6,78,20,2,67,33,4,22,164,6
7,7,75,21,4,65,35,3,25,174,2
8,8,73,19,8,70,30,2,27,148,2
9,9,70,16,14,71,29,3,30,142,4
10,10,67,17,16,69,31,3,33,154,3
11,11,64,18,18,73,27,3,36,132,2
12,12,58,20,22,71,29,6,42,144,3
13,13,53,22,25,68,32,5,47,158,3
14,14,51,22,27,71,29,2,49,144,3
15,15,50,20,30,72,28,1,50,138,6
16,16,49,18,33,68,32,1,51,158,5
17,17,49,15,36,70,30,0,51,150,2
18,18,49,9,42,72,28,0,51,138,1
19,19,49,4,47,60,40,0,51,198,1
20,20,49,2,49,58,42,0,51,208,0
21,21,49,1,50,1,99,0,51,494,0
22,22,49,0,51,0,100,0,51,500,0
