,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,98,2,0,0,100,0,2,500,0
2,2,97,3,0,0,100,1,3,500,0
3,3,95,5,0,2,98,2,5,488,2
4,4,94,6,0,1,99,1,6,494,0
5,5,88,12,0,2,98,6,12,488,1
6,6,84,14,2,5,95,4,16,474,2
7,7,73,25,2,3,97,11,27,484,1
8,8,57,40,3,3,97,16,43,482,6
9,9,38,57,5,6,94,19,62,468,4
10,10,18,76,6,11,89,20,82,444,11
11,11,11,77,12,20,80,7,89,398,16
12,12,5,79,16,24,76,6,95,376,19
13,13,3,70,27,32,68,2,97,338,20
14,14,1,56,43,29,71,2,99,354,7
15,15,1,37,62,27,73,0,99,362,6
16,16,1,17,82,21,79,0,99,394,2
17,17,1,10,89,11,89,0,99,444,2
18,18,1,4,95,7,93,0,99,464,0
19,19,1,2,97,2,98,0,99,488,0
20,20,1,0,99,1,99,0,99,494,0
