,Step,Susceptible,Infected,Recovered,# Home,# Grid,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4
0,0,98,2,0,0,100,2,2,0,0
1,1,95,5,0,0,100,3,5,498,0
2,2,88,12,0,0,100,7,12,498,0
3,3,81,19,0,0,100,7,19,498,2
4,4,66,34,0,0,100,15,34,498,3
5,5,47,53,0,0,100,19,53,500,7
6,6,26,72,2,0,100,21,74,498,7
7,7,10,85,5,0,100,16,90,498,15
8,8,4,84,12,0,100,6,96,496,19
9,9,1,80,19,0,100,3,99,498,21
10,10,1,65,34,0,100,0,99,498,16
11,11,1,46,53,0,100,0,99,500,6
12,12,1,25,74,0,100,0,99,498,3
13,13,1,9,90,0,100,0,99,498,0
14,14,1,3,96,0,100,0,99,498,0
15,15,1,0,99,0,100,0,99,498,0
